Course Number,Course Title,Description,Class Type (U/G),Semester,Rest,Prerequisites,Credit structure,Instructor,Lecture,Lab,Recitation,Partial Lab,Corequisites,Units
8.921,Stellar Structure and Evolution,"Observable stellar characteristics; overview of observational information. Principles underlying calculations of stellar structure. Physical processes in stellar interiors; properties of matter and radiation; radiative, conductive, and convective heat transport; nuclear energy generation; nucleosynthesis; and neutrino emission. Protostars; the main sequence, and the solar neutrino flux; advanced evolutionary stages; variable stars; planetary nebulae, supernovae, white dwarfs, and neutron stars; close binary systems; and abundance of chemical elements.Staff",Graduate,Spring,,,3-0-9,,,,,,,
8.942,Cosmology,"URL:http://web.mit.edu/physics/subjects/index.htmlsThermal backgrounds in space. Cosmological principle and its consequences: Newtonian cosmology and types of ""universes""; survey of relativistic cosmology; horizons. Overview of evolution in cosmology; radiation and element synthesis; physical models of the ""early stages."" Formation of large-scale structure to variability of physical laws. First and last states. Some knowledge of relativity expected. 8.962 recommended though not required.Textbooks Fall 2024",Graduate,Fall,,,3-0-9,K. Masui,"MW1-2.30, 4-159",,,,,
8.952,Particle Physics of the Early Universe,"Basics of general relativity, standard big bang cosmology, thermodynamics of the early universe, cosmic background radiation, primordial nucleosynthesis, basics of the standard model of particle physics, electroweak and QCD phase transition, basics of group theory, grand unified theories, baryon asymmetry, monopoles, cosmic strings, domain walls, axions, inflationary universe, and structure formation.Staff",Graduate,Spring,,8.323  ,3-0-9,,,,,,8.324,
8.962,General Relativity,"The basic principles of Einstein's general theory of relativity, differential geometry, experimental tests of general relativity, black holes, and cosmology.Staff",Graduate,Spring,,8.07  18.03  18.06 ,4-0-8,,,,,,,
8.971,Astrophysics Seminar,",Not offered regularly; consult departmentAdvanced seminar on current topics, with a different focus each term. Typical topics: astronomical instrumentation, numerical and statistical methods in astrophysics, gravitational lenses, neutron stars and pulsars.Staff",Graduate,Spring,,,2-0-4 [P/D/F],,,,,,,
8.972,Astrophysics Seminar,",Not offered regularly; consult departmentAdvanced seminar on current topics, with a different focus each term. Typical topics: gravitational lenses, active galactic nuclei, neutron stars and pulsars, galaxy formation, supernovae and supernova remnants, brown dwarfs, and extrasolar planetary systems. The presenter at each session is selected by drawing names from a hat containing those of all attendees. Offered if sufficient interest is indicated.Staff",Graduate,Spring,,,2-0-4 [P/D/F],,,,,,,
"8.981,",8.982 Selected Topics in Astrophysics,"Not offered regularly; consult departmentTopics of current interest, varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Spring,,,3-0-9 [P/D/F],,,,,,,
8.995,Practical Experience in Physics,",,,TBA.sFor Course 8 students participating in off-campus experiences in physics. Before registering for this subject, students must have an internship offer from a company or organization, must identify a Physics advisor, and must receive prior approval from the Physics Department. Upon completion of the project, student must submit a letter from the company or organization describing the work accomplished, along with a substantive final report from the student approved by the MIT advisor. Consult departmental academic office.Fall:Detmold, WilliamIAP:Detmold, WilliamSpring:Detmold, WilliamSummer:Detmold, WilliamNo textbook information available Summer 2024; No required or recommended textbooks Fall 2024",Graduate,Summer,,,,,,,,,,Units arranged
8.998,Teaching and Mentoring MIT Students,",orT166-154orF114-257orF126-328sNo required or recommended textbooks",Undergraduate,Spring,,,2-0-1 [P/D/F],E. Bertschinger,"M11, 26-168","R1, 66-154",,,,
8.S301,Special Subject: Physics,Not offered regularly; consult departmentCovers topics in Physics that are not offered in the regular curriculum. Limited enrollment; preference to Physics graduate students.,Graduate,Spring,,,,T. Smidt,,,,,,Units arranged
8.S308,Special Subject: Physics (New),Opportunity for group study of subjects in physics not otherwise included in the curriculum.Staff,Graduate,IAP,,,,,,,,,,Units arranged
8.S372,Special Subject: Physics,Not offered regularly; consult departmentCovers topics in Physics that are not offered in the regular curriculum.Staff,Graduate,Spring,,,3-0-9,,,,,,,
8.S373,Special Subject: Physics,Covers topics in Physics that are not offered in the regular curriculum.Staff,Graduate,Spring,,,3-0-9,,,,,,,
8.S421,Special Subject: Physics,Opportunity for group study of subjects in physics not otherwise included in the curriculum.Staff,Graduate,Spring,,,,,,,,,,Units arranged
8.S50,Special Subject: Physics,Not offered regularly; consult departmentOpportunity for group study of subjects in physics not otherwise included in the curriculum.Staff,Undergraduate,IAP,,,,,,,,,,Units arranged
8.S998,Special Subject: Physics,",Not offered regularly; consult departmentOpportunity for group study of subjects in physics not otherwise included in the curriculum.Staff",Undergraduate,Spring,,,,,,,,,,Units arranged
8.THG,Graduate Physics Thesis,",,,TBA.sProgram of research leading to the writing of an SM, PhD, or ScD thesis; to be arranged by the student and an appropriate MIT faculty member.Fall:IAP:Winslow, LindleySpring:Winslow, LindleySummer:Winslow, LindleyTextbooks arranged individually Summer 2024; No required or recommended textbooks Fall 2024",Graduate,Summer,,,,L. Winslow,,,,,,Units arranged
9.00,Introduction to Psychological Science,"A survey of the scientific study of human nature, including how the mind works, and how the brain supports the mind.  Topics include the mental and neural bases of perception, emotion, learning, memory, cognition, child development, personality, psychopathology, and social interaction.  Consideration of how such knowledge relates to debates about nature and nurture, free will, consciousness, human differences, self, and society.",Undergraduate,Spring,,,4-0-8,J. D. Gabrieli,,,,,,
9.01,Introduction to Neuroscience,"orR EVE 7 PM46-3037orF1146-3037orF146-3037sIntroduction to the mammalian nervous system, with emphasis on the structure and function of the human brain. Topics include the function of nerve cells, sensory systems, control of movement, learning and memory, and diseases of the brain.Textbooks Fall 2024",Undergraduate,Fall,True,,4-0-8,M. Bear,"MW1-2.30, 46-3002",,"R12, 46-3037",,,
9.011,Systems Neuroscience Core I,"+finalsSurvey of brain and behavioral studies. Examines principles underlying the structure and function of the nervous system, with a focus on systems approaches. Topics include development of the nervous system and its connections, sensory systems of the brain, the motor system, higher cortical functions, and behavioral and cellular analyses of learning and memory. Preference to first-year graduate students in BCS.No required or recommended textbooks",Graduate,Fall,,,6-0-12,"R. Desimone, E. K. Miller","MWF2-4, 46-5313",,,,,
9.012,Cognitive Science,"Intensive survey of cognitive science. Topics include visual perception, language, memory, cognitive architecture, learning, reasoning, decision-making, and cognitive development. Topics covered from behavioral, computational, and neural perspectives.",Graduate,Spring,,,6-0-12,"E. Gibson, P. Sinha, J. Tenenbaum",,,,,,
9.013[J],Molecular and Cellular Neuroscience Core II,"Not offered regularly; consult departmentSame subject as7.68[J]Survey and primary literature review of major areas in molecular and cellular neurobiology. Covers genetic neurotrophin signaling, adult neurogenesis, G-protein coupled receptor signaling, glia function, epigenetics, neuronal and homeostatic plasticity, neuromodulators of circuit function, and neurological/psychiatric disease mechanisms. Includes lectures and exams, and involves presentation and discussion of primary literature. 9.015 recommended, though the core subjects can be taken in any sequence.Staffendendendendendendendendendendendendendendend9.181[J] Developmental NeurobiologySame subject as7.69[J],9.18[J]Considers molecular control of neural specification, formation of neuronal connections, construction of neural systems, and the contributions of experience to shaping brain structure and function. Topics include: neural induction and pattern formation, cell lineage and fate determination, neuronal migration, axon guidance, synapse formation and stabilization, activity-dependent development and critical periods, development of behavior. In addition to final exam, analysis and presentation of  research papers required for final grade. Students taking graduate version complete additional assignments. Students taking graduate version complete additional readings that will be addressed in their mid-term and final exams.Staff",Graduate,Spring,,9.011 or permission of instructor ,3-0-9,,,,,,,
