Course Number,Course Title,Description,Subject meets with,Prerequisites,Class Type (U/G),Semester,Credit Structure,Credit Info,Instructor,Same subject as,Years offered
1.383,Underground Construction," instructor Familiarization with the most important aspects of planning, design, and construction of underground openings in soft ground and rock. Detailed engineering analysis and design. Major aspects of construction techniques and construction planning. General planning and economic problems. Major design project. Alternate years. 1.39 Studies in Geotechnical",,"1.361, 1.38, or permission of",,,3-0-6,H-LEVEL Grad Credit,H. H. Einstein,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
1.39,Studies in Geotechnical Engineering, Can be repeated for credit For graduate students desiring further individual study of special topics. Construction Engineering and Management 1.40 Project Management,,Permission of instructor,G,"Fall,",Units arranged,H-LEVEL Grad Credit,Information: C. C. Ladd.,,
1.40,Project Management," Overview of construction industry, its organizations and interactions. Project and construction management methodologies presented for project and company planning, control, and decision-making. Includes scheduling, estimating, resource planning, organization structuring used throughout all phases of expected life of facility. 1.42J Fundamentals of Energy in Buildings",,,U,Fall,3-0-9,,E. S. Slaughter,,
1.42J,Fundamentals of Energy in Buildings, See description under subject 4.42J. 1.420 Innovation in Construction,,"8.02, 18.02",U,Fall,3-0-9,REST,L. R. Glicksman,"4.42J, 2.45J",
1.420,Innovation in Construction (New)," Examines the current rate of innovation in the construction industry. Constant technological advances in materials, equipment, components, and methods are changing the nature of construction and the completed facilities. Explores these innovations and their effects on the building process. Considers application ot general innovation theories to the construction industry. Identifies probable sources of construction innovation, such as suppliers, manufacturers, builders, and occupants. Regional differences in design requirements, means and methods, usage patterns also influence innovation development and use. 1.431 Structuring Construction Industry",,Permission of instructor,G,Spring,3-0-6,H-LEVEL Grad Credit,E. S. Slaughter,,
1.431,Structuring Construction Industry Organizations," Examination, from a socio-technical perspective, of the organizations and organizational processes underlying the development, construction, and operation of the buildings. Studies the structure and functioning of firms, sub-units of firms, and conglomerations ot firms with regard to the influence of a wide range of factors including strategy, human and other resources, and role in the project development process. Frameworks for observation, description, analysis, and design of individual enterprises presented and applied to real-world situations. 1.432J Project Control",,,G,Fall,3-0-6,H-LEVEL Grad Credit,H. G. lrwig,,
1.432J,Project Control (Revised Content)," Concepts, techniques, and information systems for planning, control, and management of large-scale engineering projects. Performance and control using estimating, scheduling, and financial data. Network-based planning and time control including CPM, PERT, and resource constrained schedule. Integration of cost and time control. Integration of project control with strategic plan and information systems. Examines how new information can be used for managing change. Considers the complexity of distributed decision making through workflow management. Covers the use of various commercial software. 306 Chapter Vill Department of Civil and Environmental Engineering Course 1 1.44 Law and the Construction Industry",,Permission of instructor,G,Fall,3-0-9,H-LEVEL Grad Credit,F. Penia-Mora,13.615J,
1.44,Law and the Construction Industry," Practical focus on key legal principles applicable to construction. Provides sufficient understanding to manage legal aspects, instead of being managed by them. Contractual relationships, contract performance, avoiding/resolving disputes, designing procurement systems, and legal aspects of contract strategies. Case study applications. Topics include forms of organization, changes, differing site conditions, designer liability, risk management, public construction, surety bonds, liens, E&O insurance, site safety, arbitration, ADR, partnering. Invited industry speakers, in-class arbitration. 1.441 Public Infrastructure Development",,,G,Fall,2-0-7,H-LEVEL Grad Credit,J. B. Miller,,
1.441,Public Infrastructure Development Systems (New)," Examination of new procurement and project management strategies based on financeable advances in technology from the private sector. Design of project delivery systems to create and encourage viable projects, new technology, private sector capital investment, competition, and best value. Systematic analysis for aligning technology, revenue, and financing opportunities with public infrastructure funding and needs. Case study development for air traffic control, waste water treatment, automatic toll collection, and multimodal port development. Invited industry speakers. 1.45 Construction Finance",,1.44 or permission of instructor,G,Spring,3-0-6,H-LEVEL Grad Credit,J. B. Miller,,
1.45,Construction Finance," Examination of financing methods and structure, project financial evaluation, and financial management in the domestic and international construction industry. Analytical concepts and methodologies from modern finance theory and practice presented in lecture/discussions and applied to case analyses including problems in cash flow analysis, corporate financial structure, project finance, and foreign exchange exposure. Innovative financial securities, such as options, and methods such as privatization and sale-leaseback are examined. Prior subjects in microeconomics, accounting, and/or corporate finance desirable but not required. 1.46 Strategic Management in the Design",,,G,Fall,3-0-6,H-LEVEL Grad Credit,M. V. Samii,,
1.46,Strategic Management in the Design and Construction Value Chain," Examines the fundamental concepts of strategic planning and management in the context of the engineering and construction industry. Discusses the basic business relationships among firms in the design and construction value chain. Specific topics include: industry analysis; strategic planning models; human resource strategy; technology strategy; strategy in fragmented industries; and resource allocation. Case method of instruction is used, supplemented by extensive readings. 1.461 Corporate Organization For the Future",,Permission of instructor,G,Spring,2-0-7,H-LEVEL Grad Credit,J. Macomber,,
1.461,Corporate Organization For the Future, Exploration of emerging trends which are changing the nature of the engineering and construction market and the implications of these changes on corporate organization and management in the engineering and construction industry. Case study of an actual corporate reorganization is used to illustrate and analyze: strategic management documents; growth strategies; executive level management roles and responsibilities; and critical operational and financial control requirements.,,Permission of instructor,G,Spring,1.462,Marketing Client-Oriented Services,R. W. Page,,
1.462,Marketing Client-Oriented Services," Investigates the design, construction and management needs of building sector clients in the 1990s. The basic strategic marketing program, its interrelationship with the remainder of the organization, and its essential role in the design and construction industry are discussed. Subject includes guest lectures by construction owners, designers, and contractors and a team project to develop business and marketing plans for providing and implementing services in various project stages.",,Permission of instructor,G,Fall,1.471,Management of Large-Scale Systems,J. F. Kennedy,,
